id,oracion_id,oracion_original,oracion_limpia,oracion_sinStopWords,presidente,vicepresidente,lista,Partido
AG1,1,"Andrea González Nader, candidata presidencial por Sociedad Patriótica, plantea una visión de gobierno enfocada en la recuperación institucional, la lucha contra la corrupción y el fortalecimiento de la seguridad y la economía del país.",andrea gonzalez nader candidata presidencial por sociedad patriotica plantea una vision de gobierno enfocada en la recuperacion institucional la lucha contra la corrupcion y el fortalecimiento de la seguridad y la economia del pais,andrea gonzalez nader candidata presidencial sociedad patriotica plantea vision gobierno enfocada recuperacion institucional lucha corrupcion fortalecimiento seguridad economia pais,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,2,"Propone una reducción del aparato estatal mediante la eliminación y transformación de ministerios en secretarías, así como el uso de inteligencia artificial para mejorar la eficiencia gubernamental.",propone una reduccion del aparato estatal mediante la eliminacion y transformacion de ministerios en secretarias asi como el uso de inteligencia artificial para mejorar la eficiencia gubernamental,propone reduccion aparato estatal mediante eliminacion transformacion ministerios secretarias asi uso inteligencia artificial mejorar eficiencia gubernamental,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,3,"En materia de seguridad, destaca la necesidad de retomar el control de las costas ecuatorianas para combatir el narcotráfico y reforzar la presencia de la Marina.",en materia de seguridad destaca la necesidad de retomar el control de las costas ecuatorianas para combatir el narcotrafico y reforzar la presencia de la marina,materia seguridad destaca necesidad retomar control costas ecuatorianas combatir narcotrafico reforzar presencia marina,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,4,"Además, promueve una reforma constitucional sin recurrir a una Asamblea Constituyente, sino mediante un consejo de expertos.",ademas promueve una reforma constitucional sin recurrir a una asamblea constituyente sino mediante un consejo de expertos,ademas promueve reforma constitucional recurrir asamblea constituyente sino mediante consejo expertos,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,5,"En el ámbito de salud, propone un enfoque preventivo en lugar de paliativo, fortaleciendo la atención primaria y el acceso a servicios sanitarios.",en el ambito de salud propone un enfoque preventivo en lugar de paliativo fortaleciendo la atencion primaria y el acceso a servicios sanitarios,ambito salud propone enfoque preventivo lugar paliativo fortaleciendo atencion primaria acceso servicios sanitarios,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,6,"Finalmente, resalta la necesidad de una reforma económica que elimine trabas a la inversión privada y fomente un entorno de estabilidad financiera.",finalmente resalta la necesidad de una reforma economica que elimine trabas a la inversion privada y fomente un entorno de estabilidad financiera,finalmente resalta necesidad reforma economica elimine trabas inversion privada fomente entorno estabilidad financiera,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,7, Y ya está con nosotros como lo ven aquí en el estudio en Waiquilandrea González.,y ya esta con nosotros como lo ven aqui en el estudio en waiquilandrea gonzalez,ven aqui estudio waiquilandrea gonzalez,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,8,"Bienvenida, gracias por acompañarnos.",bienvenida gracias por acompanarnos,bienvenida gracias acompanarnos,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,9,"Muchísimas gracias Liz, me siento como en casa.",muchisimas gracias liz me siento como en casa,muchisimas gracias liz siento casa,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,10,"Ya veíamos su perfil, usted ya es una figura política conocida, pero sin embargo lo que algunos cuestionan es que no ha ejercido dentro de la función pública y sin haberlo hecho, ¿cuál va a ser la experiencia para dirigir un país?",ya veiamos su perfil usted ya es una figura politica conocida pero sin embargo lo que algunos cuestionan es que no ha ejercido dentro de la funcion publica y sin haberlo hecho cual va a ser la experiencia para dirigir un pais,veiamos perfil usted figura politica conocida embargo cuestionan ejercido dentro funcion publica haberlo hecho va ser experiencia dirigir pais,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
