ID;Oracion_ID;Oracion
1;1;objetivo general alcanzar el buen vivir en una democracia justa e igualitaria con un estado plurinacional e intercultural de derechos y justicia que promueva nuestras libertades capacidades y aspiraciones en una sociedad solidaria y con iguales oportunidades económicas políticas culturales y ecológicas para que todos y todas las ecuatorianas podamos caminar juntos siguiendo la hoja de ruta trazada en la constitución de nuestra república
1;2;objetivos específicos objetivo 1
1;3;justicia para el buen vivir objetivo 2
1;4;justicia para alcanzar la paz la seguridad y el orden objetivo 3
1;5;justicia para el bienestar económico con igualdad de oportunidades objetivo 4
1;6;justicia ética y transparente en la lucha contra la corrupción objetivo 5
1;7;justicia democrática participativa y deliberativa objetivo 6
1;8;justicia para el empoderamiento y protección de mujeres y niñas objetivo 7
1;9;justicia para reconocer y valorar la diversidad plurinacional e intercultural objetivo 8
1;10;justicia ecológica y transición energética para un futuro limpio y sostenible objetivo 9
1;11;justicia digital y nueva economía de la información objetivo 10
1;12;justicia internacional soberanía e integración objetivo 11
1;13;justicia para el desarrollo del conocimiento objetivo 12
1;14;justicia para la construcción de una sociedad de respeto y valor intergeneracional el cumplimiento de nuestro plan de gobierno 20252029 será evaluado periódicamente mediante mecanismos públicos de vigilancia y rendición de cuentas
1;15;la rendición de cuentas se hará pública y anualmente ante la asamblea como marca la norma constitucional y también se realizará en asambleas populares directas y abiertas
1;16;para el control periódico del plan se activarán las instancias señaladas en la constitución y la ley orgánica de participación ciudadana el consejo de participación ciudadana el consejo nacional de planificación los consejos consultivos participativos en cada ministerio los consejos nacionales para la igualdad la asamblea plurinacional e intercultural para el buen vivir y los consejos ciudadanos sectoriales
1;17;a continuación se detallan las propuestas y estrategias plurianuales a realizarse en cada objetivo específico
1;18;justicia para el buen vivir justicia para el buen vivir diagnóstico en un momento en que la vida se encuentra sometidos a una amenaza constante nuestra propuesta se centra en su defensa así como en la protección de los derechos humanos y de la naturaleza
1;19;nos unimos para abogar por la valoración y el respeto de todas las formas de vida reconociendo que cada ser tiene el derecho innato de existir y crecer en armonía con su entorno
1;20;afirmamos que la justicia por la vida y la reproducción de la vida debe prevalecer en todas las esferas de la sociedad
1;21;esto implica tanto la recuperación de los bienes y servicios públicos como la recuperación integral de la economía el empleo la salud y la alimentación
1;22;reconocemos que estos aspectos fundamentales de la vida están intrínsecamente entrelazados y que su fortalecimiento es crucial para el buen vivir de nuestra sociedad
1;23;durante los últimos siete años los gobiernos han dado la espalda al pueblo ecuatoriano y han entregado nuestro país a los intereses de las minorías más ricas dejando cicatrices en la economía y permitiendo tanto la pérdida de empleos como la precarización laboral se ha afectado la salud de millones de personas y se ha agravado la desigualdad social
1;24;ante esta situación creemos en la capacidad del ecuador de levantarnos juntas y juntos con la convicción de que entre todos podemos superar estos desafíos y construir un futuro próspero y equitativo
1;25;abogamos por una recuperación económica inclusiva y sostenible
1;26;rechazamos las políticas y prácticas que perpetúan la desigualdad y la concentración de la riqueza en su lugar promovemos un enfoque que fomente el acceso equitativo a oportunidades económicas así como a la creación de empleos dignos emprendimiento e innovación
1;27;reconocemos que el empleo es un pilar fundamental para la dignidad y la estabilidad económica de las personas
1;28;nos comprometemos a impulsar políticas y programas que fomenten el ingreso básico universal la generación de empleo digno y estable el apoyo a la capacidad de contratación de las empresas en particular de las pequeñas y medianas así como la formación y la cualificación profesional permanentes
1;29;buscamos construir una sociedad en la que cada persona tenga la oportunidad de contribuir y prosperar sin importar su origen género o cualquier otra característica personal una sociedad donde el trabajo asalariado se caracterice por sus competencias y por las condiciones laborales dignas nunca más una sociedad de salarios bajos y trabajo barato
1;30;la salud también es un derecho humano fundamental
1;31;defendemos sistemas de salud accesibles resilientes y equitativos que garanticen la atención médica para todas las personas independientemente de su situación económica
1;32;fortaleceremos la investigación científica la prevención de enfermedades y la promoción de estilos de vida saludables
1;33;defendemos el acceso universal a medicamentos y tratamientos sostenibles promoviendo la colaboración global para abordar los desafíos sanitarios
1;34;la alimentación es un derecho básico para todos los seres humanos
1;35;nos comprometemos a promover sistemas alimentarios sostenibles que garanticen la seguridad alimentaria la diversidad de alimentos nutritivos y el acceso equitativo a ellos
1;36;abogamos por la protección del medio ambiente la promoción de la agricultura regenerativa y el apoyo a los pequeños agricultores y productores locales
1;37;aquí llamamos a la acción a todos aquellos que comparten nuestra visión de una recuperación integral de la patria
1;38;instamos a todas y todos los ecuatorianos a unirse en esta misión
1;39;juntos y juntas podemos construir un futuro en el que la economía sea inclusiva y sostenible el empleo sea digno y abundante la salud sea un derecho para todos y la alimentación sea segura y nutritiva para lo cual proponemos economía y deuda pública crédito e inversión social estabilizar el crecimiento y los niveles de producción agregada lo cual consiste tanto en detener la caída de la producción como en recuperar los niveles de producción real
1;40;recuperar y profundizar los instrumentos para gestionar la liquidez de la economía que proteja la dolarización
1;41;impulsar la transición hacia una economía post petrolera estimular la producción no petrolera con incentivos para sectores de valor agregado procurando en ese proceso un incremento relativo de la participación de la manufactura y de las industrias con alta incorporación de conocimiento y tecnología frente a la producción total
1;42;orientar la política económica para incentivar la formalización de las micro y pequeñas empresas mediante regímenes simplificados y exenciones en los niveles de tributación que les permitan mantenerse y evitar cierres ante la crítica situación económica que enfrenta el país
