ID;Oracion_ID;Oracion;Temas Clave
1;1;objetivo general alcanzar buen vivir democracia justo igualitario plurinacional intercultural derecho justicia promover libertad capacidad aspiración sociedad solidario igual oportunidad económico política cultural ecológico ecuatoriana poder caminar junto seguir hoja ruta trazado constitución república;democracia, política, justicia, cultura
1;2;objetivo específico objetivo;
1;3;justicia buen vivir objetivo;justicia
1;4;justicia alcanzar paz seguridad orden objetivo;justicia, seguridad
1;5;justicia bienestar económico igualdad oportunidad objetivo;justicia, igualdad
1;6;justicia ético transparente lucha corrupción objetivo;justicia, corrupción
1;7;justicia democrático participativo deliberativo objetivo;justicia
1;8;justicia empoderamiento protección mujer niña objetivo;justicia
1;9;justicia reconocer valorar diversidad plurinacional intercultural objetivo;justicia, cultura
1;10;justicia ecológico transición energético futuro limpio sostenible objetivo;justicia
1;11;justicia digital nuevo economía información objetivo;justicia, economía
1;12;justicia internacional soberanío integración objetivo;justicia
1;13;justicia desarrollo conocimiento objetivo;justicia, desarrollo
1;14;justicia construcción sociedad respeto valor intergeneracional cumplimiento plan gobierno ser evaluar periódicamente mediante mecanismo público vigilancia rendición cuenta;justicia, gobierno
1;15;rendición cuenta hacer público anualmente asamblea marca norma constitucional realizar asamblea popular directa abierto;
1;16;control periódico plan activar instancia señalada constitución ley orgánico participación ciudadano consejo participación ciudadano consejo nacional planificación consejo consultivo participativo cada ministerio consejo nacional igualdad asamblea plurinacional intercultural buen vivir consejo ciudadano sectorial;cultura, igualdad
1;17;continuación detallar propuesta estrategia plurianual realizar él cada objetivo específico;
1;18;justicia buen vivir justicia buen vivir diagnóstico momento vida encontrar sometido amenaza constante propuesta centrar defensa así protección derechos humanos naturaleza;justicia, derechos humanos
1;19;unir abogar valoración respeto forma vida reconocer cada ser tener derecho innato existir crecer armonía entorno;
1;20;afirmar justicia vida reproducción vida deber prevalecer esfera sociedad;justicia
1;21;implicar recuperación bien servicio público recuperación integral economía empleo salud alimentación;servicios públicos, salud, economía, empleo
1;22;reconocer aspecto fundamental vida intrínsecamente entrelazado fortalecimiento ser crucial buen vivir sociedad;
1;23;último siete año gobierno haber dar espalda pueblo ecuatoriano haber entregar país interés minoría rico dejar cicatriz economía permitir pérdida empleo precarización laboral haber afectar salud millón persona haber agravar desigualdad social;gobierno, salud, economía, empleo, igualdad
1;24;situación creer capacidad ecuador levantarno junto junto convicción poder superar desafío construir futuro próspero equitativo;
1;25;abogar recuperación económico inclusivo sostenible;
1;26;rechazar política práctica perpetuar desigualdad concentración riqueza lugar promover enfoque fomentar acceso equitativo oportunidad económico así creación empleo digno emprendimiento innovación;emprendimiento, innovación, política, empleo, igualdad
1;27;reconocer empleo ser pilar fundamental dignidad estabilidad económico persona;empleo
1;28;comprometer impulsar política programa fomentar ingreso básico universal generación empleo digno estable apoyo capacidad contratación empresa particular pequeño mediano así formación cualificación profesional permanente;política, empleo
1;29;buscar construir sociedad cada persona tener oportunidad contribuir prosperar importar origen género cualquiera característica personal sociedad trabajo asalariado caracterizar competencia condición laboral digno nunca sociedad salario bajo trabajo barato;
1;30;salud ser derecho humano fundamental;salud
1;31;defendar sistema salud accesibl resilient equitativo garantizar atención médico persona independientemente situación económico;salud
1;32;fortalecerer investigación científico prevención enfermedad promoción estilo vida saludable;salud
1;33;defendar acceso universal medicamento tratamiento sostenible promover colaboración global abordar desafío sanitario;
1;34;alimentación ser derecho básico ser humano;
1;35;comprometer promover sistema alimentario sostenible garantizar seguridad alimentario diversidad alimento nutritivo acceso equitativo;seguridad
1;36;abogar protección medio ambiente promoción agricultura regenerativo apoyo pequeño agricultor productor local;medio ambiente, ambiente, agricultura, cultura
1;37;aquí llamar acción aquel compartir visión recuperación integral patria;
1;38;instamos ecuatoriano unir él misión;
1;39;junto junto poder construir futuro economía ser inclusivo sostenible empleo ser digno abundante salud ser derecho alimentación ser seguro nutritiva proponer economía deuda público crédito inversión social estabilizar crecimiento nivel producción agregado consistir detener caída producción recuperar nivel producción real;salud, economía, empleo, inversión
1;40;recuperar profundizar instrumento gestionar liquidez economía proteger dolarización;economía
1;41;impulsar transición hacia economía post petrolero estimular producción petrolera incentivo sector valor agregado procurar proceso incremento relativo participación manufactura industria alto incorporación conocimiento tecnología frente producción total;tecnología, economía, industria
1;42;orientar política económico incentivar formalización micro pequeño empresa mediante regímén simplificado exención nivel tributación permitir mantener él evitar cierre crítico situación económico enfrentar país;política
1;43;realizar auditoría integral deuda público año;
1;44;establecer principio irrenunciable cualquiera negociación acreedor deuda público prioridad trabajo digno crecimiento inclusivo condición necesario cumplir cualquiera compromiso;
1;45;recuperar inversión estatal sector social aplicar presupuesto social sectorial acuerdo proporción señalada constitución;inversión
1;46;apoyar economía dar prioridad sector social solidario crédito accesib él acceso preferencial compra público aplicación inclusión económico percha mecanismo liquidez través institución finanza popular diferimiento pago apoyo desarrollo herramienta virtual promover espacio negocio entrar contacto directo productor consumidor apoyo productor eps incorporar mecanismo asegurar alto estándar calidad apoyar proceso incorporación valor agregado etc;economía, desarrollo, finanzas
1;47;fortalecer rol orientador desarrollo agrario promover estructura agrario combinir diferente forma organización producción considerar unidad familiar forma organización social producción producción empresarial;desarrollo
1;48;cuidar particularmente sostenibilidad productivo financiero micro pequeño mediano empresa empresa economía popular solidariar establecer incentivo tributario adecuado mejorar condición acceso mercado nacional promover así sostenibilidad empleo generar sector;economía, empleo, sostenibilidad
1;49;elaborar plan vinculación científicotecnológico aplicado economía social popular permitir articulación diferente dispositivo tecnológico financiamiento investigación aplicado territorio;economía
1;50;impulsar soberanía alimentario fortalecer productor economía popular agricultura familiar producir buen parte alimento país;agricultura, economía, cultura
1;51;financiar producción red comercialización;
1;52;priorizar parte compra alimento organización agricultura familiar economía popular;agricultura, economía, cultura
1;53;apoyar cooperativismo agrario forma producción economía popular pequeño mediano empresa mediante fortalecimiento organización social ingreso cadena valor proceso productivo comercial;economía
1;54;reactivar política público producción agrícola precio sustentación mediante unidad nacional almacenamiento medio protección pequeño agricultor;política
1;55;recuperar reconstruir capacidad sector público brindar servicio esencial calidad área salud educación bienestar social justicia seguridad;justicia, seguridad, salud, educación
1;56;buscar convergencia política económico laboral política social revertir rápidamente incremento pobreza desigualdad reinstaurar agenda público decidido reducción pobreza extremo pobreza desigualdad;política, pobreza, igualdad
1;57;establecer sistema masivo crédito tasa bajo desendeudar familia;
1;58;resolver problemática social económico generado creciente oferta crédito interés cláusula costo ilegal abusivo;
1;59;estabilizar ingreso petrolero adecuar presión tributario incluir impuesto subnacional contribución seguridad social etc;seguridad
1;60;dentro nivel conveniente acorde estándar internacional proceso simplificación tributario mantener mejorar condición nivel empleo;empleo
1;61;revisar política subsidio criterio estrategia justicia redistributivo priorizar sector agricultura transporte;transporte, agricultura, cultura, justicia, política
1;62;luchar corrupción fiscal evasión establecer sistema transparencia definitivo capturar incremento patrimonial justificado;transparencia, corrupción
1;63;aplicar principio generalidad sistema tributario simplificar él hacer él eficiente;
1;64;aplicar criterio progresividad suficiencio equidad tributario pro crear incentivo agente económico productivo;ciencia
1;65;ciudadanir empleo digno ingreso básico universal seguridad social universal orientar política laboral hacia recuperación mejoramiento nivel calidad empleo poner centro modelo respeto derecho laboral individual colectivo estabilidad trabajo condición laboral seguro saludable salario digno tiempo trabajo compatible vida personal laboral familiar hombre mujer lugar trabajo libre violencia acoso protección maternidad etapa reconocimiento padre madre tiempo cuidado crianza proteger estabilidad laboral;política, salud, empleo, seguridad
