ID;Oracion_ID;Oracion;Temas Clave;Partido;CandidatoPresidente;CandidatoVicePresidente;ListaPolitica
1;1;objetivo general alcanzar buen vivir democracia justo igualitario plurinacional intercultural derecho justicia promover libertad capacidad aspiración sociedad solidario igual oportunidad económico política cultural ecológico ecuatoriana poder caminar junto seguir hoja ruta trazado constitución república;democracia, política, justicia, cultura;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;2;objetivo específico objetivo;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;3;justicia buen vivir objetivo;justicia;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;4;justicia alcanzar paz seguridad orden objetivo;justicia, seguridad;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;5;justicia bienestar económico igualdad oportunidad objetivo;justicia, igualdad;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;6;justicia ético transparente lucha corrupción objetivo;justicia, corrupción;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;7;justicia democrático participativo deliberativo objetivo;justicia;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;8;justicia empoderamiento protección mujer niña objetivo;justicia;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;9;justicia reconocer valorar diversidad plurinacional intercultural objetivo;justicia, cultura;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;10;justicia ecológico transición energético futuro limpio sostenible objetivo;justicia;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;11;justicia digital nuevo economía información objetivo;justicia, economía;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
